name,url,status,size,sha256,error
kubeone,https://get.kubeone.io,ok,3788,d49a59aef40bf418d5fc609341db38ed0c9fba11185e4caf4b3f4c17ca29a563,
kubescape,https://raw.githubusercontent.com/kubescape/kubescape/master/install.sh,ok,3898,315c284ff16d1c2cbb61edc2b408da06f51999be127cf1e30866a8b5d3410562,
linkerd,https://run.linkerd.io/install,ok,4009,fb8673e6bb34f4a081418e128419b46c5c17d0a93467cba68602678e612849c8,
lunarvim,https://raw.githubusercontent.com/LunarVim/LunarVim/release-1.4/neovim-0.9/utils/installer/install.sh,ok,13384,94860a5a89ff1fea4fe44341b05aafcae4454ffc830eb404fcaeb195f09e98b2,
mambaforge,https://github.com/conda-forge/miniforge/releases/latest/download/Miniforge3-Linux-x86_64.sh,ok,262144,53835ba756548f595287352df2156f1ea7d3f1cfe77fe08995a1fd87b4b0646e,truncated to 262144 bytes (original 105172629)
meilisearch,https://install.meilisearch.com,ok,4492,c9dd1eb8caf4dea512200fd561345403929738c7161905a41cb2d74adcff5cea,
micromamba,https://micro.mamba.pm/install.sh,ok,3191,9020ce9e4e83d11ea2b1a29d3b3ea5f257d9129eb5ae4999ad6fb83d876d0f54,
mise,https://mise.run,ok,12437,c84f5a92f6470b412ec616cba585fea2335e635910606fc77a906ce48c34931c,
nats-cli,https://binaries.nats.dev/nats-io/natscli/nats@latest,ok,4193,a9dd6f6817e18565ae0815f874a384070c6c2dfbbefd2985729ca9172a713e0f,
netdata,https://get.netdata.cloud/kickstart.sh,ok,105091,b92c4d402b84b7f8449987cf07180b84981a282024119c1a1612b40711c6c34f,
newrelic-cli,https://download.newrelic.com/install/newrelic-cli/scripts/install.sh,ok,3779,11e0140fa6f097b5d73c36ef32dcd949761c06de26401cf5449e9569c1354959,
nim-choosenim,https://nim-lang.org/choosenim/init.sh,ok,4751,6c38d83e5f33feb0317647f4fbd757fd2128fef5cdf61b6a6e1709c63b0d8d5c,
n-node,https://raw.githubusercontent.com/tj/n/master/bin/n,ok,52436,e4f5baa2e912d3a39b50d9f617de03acf2b4eeb3590f0a4181123f8393da1a19,
nodenv,https://raw.githubusercontent.com/nodenv/nodenv-installer/master/bin/nodenv-installer,ok,3115,08e8916e20799ec04786e4c9b55918cc420ac27d56b8be7b33d5f2911b8d869b,
oci-cli,https://raw.githubusercontent.com/oracle/oci-cli/master/scripts/install/install.sh,ok,17154,079dcc9a3e2a61ec692400e30169c9996b2998ac8c4e205198ed5863283fcb76,
oh-my-posh,https://ohmyposh.dev/install.sh,ok,7222,2e03d4e90e0d390f28ce739fbd90ed2a14f1e7b48bf693d538bede460b547560,
okteto,https://get.okteto.com,ok,3771,a46dc1ea1a16d9f86aaf580854fcc7a865800f83e981215a8abe83a4741f1466,
opentofu,https://get.opentofu.org/install-opentofu.sh,ok,50084,e4e899ae7bd86241fd17ad99e9d32f5b2d20a11b1a40d088acabb6e06dba49c5,
